Reduced activity,Difficulty swallowing,Poor growth,Bloody diarrhea,Ruffled feathers,Pale comb,Worms in droppings,Paralysis of legs or wings,Poor egg shell quality,Bleeding,Greenish diarrhea,Facial swelling,Nasal discharge,Drooping wings,Yellow nodules in lungs,Soft bones,Foul-smelling nasal discharge,Swollen crop,Seizures,Obesity,Swollen wattles,Bad odor,Scabby lesions on legs,Conjunctivitis,Abscess formation,Joint swelling,Yellow droppings,Enlarged liver,Leg weakness,"Thickened, crusty leg scales",Scabby lesions on comb,Sneezing,Swollen abdomen,Swollen foot pad,Anemia,Swollen cloaca,Grey iris,Fluffed-up feathers,Coughing,Reduced feed intake,Straining,Weakness,Soft-shelled eggs,Decreased egg production,Blackened combs or wattles,Shivering,Liver damage,Weight loss,Dehydration,Poor feather quality,Tremors,Digestive issues,Poor feather condition,Reduced appetite,Reduced egg production,Green diarrhea,Wrinkled eggs,Watery eyes,Panting,Difficulty breathing,Spread wings,"Swollen, squishy crop",Pale eggs,Immunosuppression,Stress,Swollen sinuses,Respiratory distress,Lethargy,Limber neck,Sudden death,Bowed legs,Lameness,Pain,Paralysis,Discomfort,Excessive feather loss,Bald spots,Diarrhea,Swollen eyes,Head shaking,Swollen head,Scabby lesions on wattles,Twisting neck,Limping,Tumors in organs,Gasping,Disease
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Avian Influenza (Bird Flu)
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Avian Influenza (Bird Flu)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,Avian Influenza (Bird Flu)
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,Avian Influenza (Bird Flu)
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Avian Influenza (Bird Flu)
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Avian Influenza (Bird Flu)
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Avian Influenza (Bird Flu)
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Avian Influenza (Bird Flu)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Avian Influenza (Bird Flu)
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Avian Influenza (Bird Flu)
